x,y,z
0.08183806,-0.9319084,-0.06871336
0.06315504,-0.9333342,-0.07491267
0.05850559,-0.9344957,-0.07531084
0.06495722,-0.9361832,-0.05841045
0.0457398,-0.9392149,-0.04842892
0.0457398,-0.9392149,-0.04842892
0.01438145,-0.947522,-0.04072074
-0.02034657,-0.950465,-0.04086408
-0.0447994,-0.9515286,-0.03432224
-0.06931984,-0.9492007,-0.03306298
-0.08316424,-0.9472916,-0.03354203
-0.1009879,-0.9435077,-0.02539241
-0.1226764,-0.9374294,-0.0133855
-0.135014,-0.9316601,-0.0023088
-0.138089,-0.9293582,0.003303662
-0.1486674,-0.9235362,0.0136589
-0.1545063,-0.9190372,0.02834352
-0.162716,-0.9090275,0.04236
-0.1680011,-0.9033467,0.04981298
-0.178362,-0.8898652,0.06373795
-0.1916589,-0.8710238,0.07062562
-0.2014371,-0.8446541,0.07209408
-0.1416753,0.1783866,-0.1647144
-0.1416753,0.1783866,-0.1647144
-0.1538921,0.179068,-0.1597524
-0.160668,0.1805153,-0.1552868
-0.1636363,0.1822347,-0.1475308
-0.1636363,0.1822347,-0.1475308
-0.164846,0.1816556,-0.1373902
-0.164846,0.1816556,-0.1373902
-0.149449,0.1759974,-0.1164397
-0.1293305,0.1738338,-0.1111366
-0.1293305,0.1738338,-0.1111366
-0.1157107,0.1721428,-0.1066839
-0.04443574,0.1675682,-0.08490228
-0.04443574,0.1675682,-0.08490228
-0.001777314,0.1655587,-0.06583954
-0.001777314,0.1655587,-0.06583954
0.03338533,0.352724,-0.05303868
0.05106091,0.3481011,-0.03934798
0.06652005,0.3448919,-0.02914406
0.07681912,0.3434156,-0.02715776
0.09814706,0.3391804,-0.01961854
0.1167479,0.3329763,-0.004130973
0.1424954,0.3269365,0.006284824
0.1424954,0.3269365,0.006284824
0.1714061,0.3245094,0.01518088
0.1829512,0.3238542,0.02174486
0.2009269,0.3239874,0.03347983
0.2169838,0.3276633,0.04435767
0.2226378,0.3301382,0.05148231
0.2295428,0.3343452,0.06759983
0.2336864,0.3456947,0.08115531
0.232746,0.3575703,0.08793373
0.2292949,0.3831758,0.09998988
0.2379442,0.3924265,0.1104677
0.2556803,0.380175,0.1182569
0.2611532,0.3746514,0.1216651
0.2649827,0.3687338,0.1302982
0.2693054,0.3614958,0.1346596
